Date,Nickname,Amount
1,Rent,-1202
1,Water,-74
1,Electric,-188
3,LittleCC,0
3,CreditOne,0
3,R7 Insurance,-252.93
4,Prestige,0
4,Grass,-87
5,Prosper,-88.57
6,AT&T Wireless,-196.45
7,Netflix,-8
9,AT&T Wifi,-62
10,UMSL Payment,0
11,BestBuy,-30
11,Ninja Insurance,-138.3
11,ChatGPT,-20
13,Installment,-580
14,Grass,-87
16,American Investments,-100
17,Planet Fitness,-28.06
23,NavyFed,0
25,Spotify,-16.99
26,Car Insurance,-164.37
29,HBO Max,-2.99
31,AC_Tyler,0
31,AC_Grace,0
31,Hulu/DisneyPlus,-4